Count,"Tradelist Count",Name,Edition,"Card Number",Condition,Foil,Signed,"Artist Proof","Altered Art",Misprint,Promo,Textless,"My Price"
1,,"Flying Carpet","Arabian Nights",,,,,,,,,,64.79
1,,"Flying Men","Arabian Nights",,,,,,,,,,16.57
1,,"Ghazbán Ogre","Arabian Nights",,,,,,,,,,7.14
1,,"Giant Tortoise","Arabian Nights",,,,,,,,,,23.06
1,,"Giant Tortoise","Arabian Nights",,,,,,,,,,5.10
1,,"Guardian Beast","Arabian Nights",,,,,,,,,,818.00
1,,"Hasran Ogress","Arabian Nights",,,,,,,,,,8.50
1,,"Hasran Ogress","Arabian Nights",,,,,,,,,,5.94
1,,"Hurr Jackal","Arabian Nights",,,,,,,,,,6.42
1,,"Ifh-Bíff Efreet","Arabian Nights",,,,,,,,,,221.96
1,,"Island Fish Jasconius","Arabian Nights",,,,,,,,,,50.88
1,,"Island of Wak-Wak","Arabian Nights",,,,,,,,,,460.00
1,,"Jandor's Ring","Arabian Nights",,,,,,,,,,50.50
1,,"Jandor's Saddlebags","Arabian Nights",,,,,,,,,,51.64
1,,"Jeweled Bird","Arabian Nights",,,,,,,,,,45.87
1,,Jihad,"Arabian Nights",,,,,,,,,,152.50
1,,"Junún Efreet","Arabian Nights",,,,,,,,,,83.98
1,,"Juzám Djinn","Arabian Nights",,,,,,,,,,3189.99
1,,"Khabál Ghoul","Arabian Nights",,,,,,,,,,217.00
1,,"King Suleiman","Arabian Nights",,,,,,,,,,299.99
1,,"Kird Ape","Arabian Nights",,,,,,,,,,12.07
1,,"Library of Alexandria","Arabian Nights",,,,,,,,,,2999.98
1,,"Magnetic Mountain","Arabian Nights",,,,,,,,,,22.88
1,,"Merchant Ship","Arabian Nights",,,,,,,,,,75.65
1,,Metamorphosis,"Arabian Nights",,,,,,,,,,5.82
1,,"Mijae Djinn","Arabian Nights",,,,,,,,,,92.76
1,,"Moorish Cavalry","Arabian Nights",,,,,,,,,,10.00
1,,"Moorish Cavalry","Arabian Nights",,,,,,,,,,6.51
1,,Mountain,"Arabian Nights",,,,,,,,,,258.99
1,,"Nafs Asp","Arabian Nights",,,,,,,,,,6.73
1,,"Nafs Asp","Arabian Nights",,,,,,,,,,6.03
1,,Oasis,"Arabian Nights",,,,,,,,,,24.99
1,,"Old Man of the Sea","Arabian Nights",,,,,,,,,,424.99
1,,Oubliette,"Arabian Nights",,,,,,,,,,24.99
1,,Oubliette,"Arabian Nights",,,,,,,,,,31.03
1,,Piety,"Arabian Nights",,,,,,,,,,13.18
1,,Piety,"Arabian Nights",,,,,,,,,,6.35
1,,Pyramids,"Arabian Nights",,,,,,,,,,187.64
1,,"Repentant Blacksmith","Arabian Nights",,,,,,,,,,62.42
1,,"Ring of Ma'rûf","Arabian Nights",,,,,,,,,,121.95
1,,"Rukh Egg","Arabian Nights",,,,,,,,,,39.99
1,,"Rukh Egg","Arabian Nights",,,,,,,,,,29.95
1,,"Sandals of Abdallah","Arabian Nights",,,,,,,,,,89.79
1,,Sandstorm,"Arabian Nights",,,,,,,,,,5.99
1,,"Serendib Djinn","Arabian Nights",,,,,,,,,,244.99
1,,"Serendib Efreet","Arabian Nights",,,,,,,,,,612.48
1,,Shahrazad,"Arabian Nights",,,,,,,,,,623.70
1,,Sindbad,"Arabian Nights",,,,,,,,,,35.97
1,,"Singing Tree","Arabian Nights",,,,,,,,,,402.39
1,,"Sorceress Queen","Arabian Nights",,,,,,,,,,164.43
1,,"Stone-Throwing Devils","Arabian Nights",,,,,,,,,,9.83
1,,"Stone-Throwing Devils","Arabian Nights",,,,,,,,,,10.05
1,,"Unstable Mutation","Arabian Nights",,,,,,,,,,9.65
1,,"War Elephant","Arabian Nights",,,,,,,,,,29.49
1,,"War Elephant","Arabian Nights",,,,,,,,,,8.36
1,,"Wyluli Wolf","Arabian Nights",,,,,,,,,,36.99
1,,"Wyluli Wolf","Arabian Nights",,,,,,,,,,10.99
1,,"Ydwen Efreet","Arabian Nights",,,,,,,,,,129.73
1,,"Amulet of Kroog",Antiquities,,,,,,,,,,0.99
1,,"Argivian Archaeologist",Antiquities,,,,,,,,,,221.79
1,,"Argivian Blacksmith",Antiquities,,,,,,,,,,0.98
1,,"Argothian Pixies",Antiquities,,,,,,,,,,2.24
1,,"Argothian Treefolk",Antiquities,,,,,,,,,,0.98
1,,"Armageddon Clock",Antiquities,,,,,,,,,,7.80
1,,"Artifact Blast",Antiquities,,,,,,,,,,1.80
1,,"Artifact Possession",Antiquities,,,,,,,,,,1.05
1,,"Artifact Ward",Antiquities,,,,,,,,,,0.86
1,,"Ashnod's Altar",Antiquities,,,,,,,,,,36.87
1,,"Ashnod's Battle Gear",Antiquities,,,,,,,,,,5.03
1,,"Ashnod's Transmogrant",Antiquities,,,,,,,,,,15.31
1,,Atog,Antiquities,,,,,,,,,,3.60
1,,"Battering Ram",Antiquities,,,,,,,,,,0.80
1,,"Bronze Tablet",Antiquities,,,,,,,,,,17.38
1,,"Candelabra of Tawnos",Antiquities,,,,,,,,,,1035.62
1,,"Circle of Protection: Artifacts",Antiquities,,,,,,,,,,4.89
1,,"Citanul Druid",Antiquities,,,,,,,,,,18.62
1,,"Clay Statue",Antiquities,,,,,,,,,,0.85
1,,"Clockwork Avian",Antiquities,,,,,,,,,,24.25
1,,"Colossus of Sardia",Antiquities,,,,,,,,,,43.60
1,,"Coral Helm",Antiquities,,,,,,,,,,10.75
1,,Crumble,Antiquities,,,,,,,,,,1.30
1,,"Cursed Rack",Antiquities,,,,,,,,,,6.01
1,,"Damping Field",Antiquities,,,,,,,,,,24.31
1,,Detonate,Antiquities,,,,,,,,,,4.99
1,,"Drafna's Restoration",Antiquities,,,,,,,,,,2.05
1,,"Dragon Engine",Antiquities,,,,,,,,,,1.19
1,,"Dwarven Weaponsmith",Antiquities,,,,,,,,,,3.85
1,,"Energy Flux",Antiquities,,,,,,,,,,19.19
1,,"Feldon's Cane",Antiquities,,,,,,,,,,9.12
1,,"Gaea's Avenger",Antiquities,,,,,,,,,,82.38
1,,"Gate to Phyrexia",Antiquities,,,,,,,,,,70.00
1,,"Goblin Artisans",Antiquities,,,,,,,,,,4.09
1,,"Golgothian Sylex",Antiquities,,,,,,,,,,54.25
1,,"Grapeshot Catapult",Antiquities,,,,,,,,,,0.77
1,,"Haunting Wind",Antiquities,,,,,,,,,,44.46
1,,"Hurkyl's Recall",Antiquities,,,,,,,,,,126.58
1,,"Ivory Tower",Antiquities,,,,,,,,,,29.80
1,,"Jalum Tome",Antiquities,,,,,,,,,,17.36
1,,"Martyrs of Korlis",Antiquities,,,,,,,,,,17.48
1,,Mightstone,Antiquities,,,,,,,,,,16.56
1,,Millstone,Antiquities,,,,,,,,,,16.06
1,,"Mishra's Factory",Antiquities,,,,,,,,,,124.99
1,,"Mishra's Factory",Antiquities,,,,,,,,,,49.85
1,,"Mishra's Factory",Antiquities,,,,,,,,,,147.50
1,,"Mishra's Factory",Antiquities,,,,,,,,,,549.46
1,,"Mishra's War Machine",Antiquities,,,,,,,,,,13.18
1,,"Mishra's Workshop",Antiquities,,,,,,,,,,3599.95
1,,"Obelisk of Undoing",Antiquities,,,,,,,,,,16.30
1,,Onulet,Antiquities,,,,,,,,,,2.76
1,,"Orcish Mechanics",Antiquities,,,,,,,,,,0.91
1,,Ornithopter,Antiquities,,,,,,,,,,8.32
1,,"Phyrexian Gremlins",Antiquities,,,,,,,,,,2.54
1,,"Power Artifact",Antiquities,,,,,,,,,,247.50
1,,Powerleech,Antiquities,,,,,,,,,,38.51
1,,"Priest of Yawgmoth",Antiquities,,,,,,,,,,3.99
1,,"Primal Clay",Antiquities,,,,,,,,,,4.84
1,,Rakalite,Antiquities,,,,,,,,,,3.19
1,,Reconstruction,Antiquities,,,,,,,,,,1.41
1,,"Reverse Polarity",Antiquities,,,,,,,,,,0.80
1,,"Rocket Launcher",Antiquities,,,,,,,,,,5.65
1,,"Sage of Lat-Nam",Antiquities,,,,,,,,,,2.08
1,,Shapeshifter,Antiquities,,,,,,,,,,14.98
1,,Shatterstorm,Antiquities,,,,,,,,,,49.50
1,,"Staff of Zegon",Antiquities,,,,,,,,,,0.69
1,,"Strip Mine",Antiquities,,,,,,,,,,44.98
1,,"Strip Mine",Antiquities,,,,,,,,,,94.66
1,,"Strip Mine",Antiquities,,,,,,,,,,110.00
1,,"Strip Mine",Antiquities,,,,,,,,,,101.99
1,,Su-Chi,Antiquities,,,,,,,,,,96.04
1,,"Tablet of Epityr",Antiquities,,,,,,,,,,0.86
1,,"Tawnos's Coffin",Antiquities,,,,,,,,,,187.95
1,,"Tawnos's Wand",Antiquities,,,,,,,,,,3.25
1,,"Tawnos's Weaponry",Antiquities,,,,,,,,,,3.00
1,,Tetravus,Antiquities,,,,,,,,,,48.07
1,,"The Rack",Antiquities,,,,,,,,,,18.90
1,,"Titania's Song",Antiquities,,,,,,,,,,10.12
1,,"Transmute Artifact",Antiquities,,,,,,,,,,318.32
1,,Triskelion,Antiquities,,,,,,,,,,151.60
1,,"Urza's Avenger",Antiquities,,,,,,,,,,33.99
1,,"Urza's Chalice",Antiquities,,,,,,,,,,1.13
1,,"Urza's Mine",Antiquities,,,,,,,,,,15.34
1,,"Urza's Mine",Antiquities,,,,,,,,,,5.23
1,,"Urza's Mine",Antiquities,,,,,,,,,,6.31
1,,"Urza's Mine",Antiquities,,,,,,,,,,14.35
1,,"Urza's Miter",Antiquities,,,,,,,,,,41.98
1,,"Urza's Power Plant",Antiquities,,,,,,,,,,6.78
1,,"Urza's Power Plant",Antiquities,,,,,,,,,,19.34
1,,"Urza's Power Plant",Antiquities,,,,,,,,,,6.91
1,,"Urza's Power Plant",Antiquities,,,,,,,,,,9.50
1,,"Urza's Tower",Antiquities,,,,,,,,,,12.61
1,,"Urza's Tower",Antiquities,,,,,,,,,,20.70
1,,"Urza's Tower",Antiquities,,,,,,,,,,18.25
1,,"Urza's Tower",Antiquities,,,,,,,,,,18.04
1,,"Wall of Spears",Antiquities,,,,,,,,,,3.50
1,,Weakstone,Antiquities,,,,,,,,,,14.39
1,,"Xenic Poltergeist",Antiquities,,,,,,,,,,5.63
1,,"Yawgmoth Demon",Antiquities,,,,,,,,,,34.19
1,,"Yotian Soldier",Antiquities,,,,,,,,,,0.99
1,,"Air Elemental","Revised Edition",,,,,,,,,,0.31
1,,"Aladdin's Lamp","Revised Edition",,,,,,,,,,1.00
1,,"Aladdin's Ring","Revised Edition",,,,,,,,,,0.90
1,,"Animate Artifact","Revised Edition",,,,,,,,,,0.28
1,,"Animate Dead","Revised Edition",,,,,,,,,,4.50
1,,"Animate Wall","Revised Edition",,,,,,,,,,0.95
1,,"Ankh of Mishra","Revised Edition",,,,,,,,,,3.99
1,,Armageddon,"Revised Edition",,,,,,,,,,10.15
1,,"Armageddon Clock","Revised Edition",,,,,,,,,,0.75
1,,"Aspect of Wolf","Revised Edition",,,,,,,,,,1.40
1,,Atog,"Revised Edition",,,,,,,,,,0.30
1,,"Bad Moon","Revised Edition",,,,,,,,,,5.77
1,,Badlands,"Revised Edition",,,,,,,,,,406.35
1,,Balance,"Revised Edition",,,,,,,,,,3.56
1,,"Basalt Monolith","Revised Edition",,,,,,,,,,3.12
1,,Bayou,"Revised Edition",,,,,,,,,,431.99
1,,"Benalish Hero","Revised Edition",,,,,,,,,,0.25
1,,"Birds of Paradise","Revised Edition",,,,,,,,,,28.56
1,,"Black Knight","Revised Edition",,,,,,,,,,0.75
1,,"Black Vise","Revised Edition",,,,,,,,,,0.94
1,,"Black Ward","Revised Edition",,,,,,,,,,0.30
1,,Blessing,"Revised Edition",,,,,,,,,,2.10
1,,"Blue Elemental Blast","Revised Edition",,,,,,,,,,0.34
1,,"Blue Ward","Revised Edition",,,,,,,,,,0.26
1,,"Bog Wraith","Revised Edition",,,,,,,,,,0.29
1,,"Bottle of Suleiman","Revised Edition",,,,,,,,,,0.70
1,,Braingeyser,"Revised Edition",,,,,,,,,,22.80
1,,"Brass Man","Revised Edition",,,,,,,,,,0.29
1,,Burrowing,"Revised Edition",,,,,,,,,,0.26
1,,Castle,"Revised Edition",,,,,,,,,,0.33
1,,"Celestial Prism","Revised Edition",,,,,,,,,,0.29
1,,Channel,"Revised Edition",,,,,,,,,,0.37
1,,Chaoslace,"Revised Edition",,,,,,,,,,0.50
1,,"Circle of Protection: Black","Revised Edition",,,,,,,,,,0.24
1,,"Circle of Protection: Blue","Revised Edition",,,,,,,,,,0.25
1,,"Circle of Protection: Green","Revised Edition",,,,,,,,,,0.25
1,,"Circle of Protection: Red","Revised Edition",,,,,,,,,,0.25
1,,"Circle of Protection: White","Revised Edition",,,,,,,,,,0.25
1,,"Clockwork Beast","Revised Edition",,,,,,,,,,0.65
1,,Clone,"Revised Edition",,,,,,,,,,0.96
1,,Cockatrice,"Revised Edition",,,,,,,,,,2.20
1,,Conservator,"Revised Edition",,,,,,,,,,0.28
1,,"Contract from Below","Revised Edition",,,,,,,,,,4.27
1,,"Control Magic","Revised Edition",,,,,,,,,,0.79
1,,Conversion,"Revised Edition",,,,,,,,,,0.30
1,,"Copy Artifact","Revised Edition",,,,,,,,,,64.80
1,,Counterspell,"Revised Edition",,,,,,,,,,3.32
1,,"Craw Wurm","Revised Edition",,,,,,,,,,0.25
1,,"Creature Bond","Revised Edition",,,,,,,,,,0.23
1,,Crumble,"Revised Edition",,,,,,,,,,0.30
1,,Crusade,"Revised Edition",,,,,,,,,,2.97
1,,"Crystal Rod","Revised Edition",,,,,,,,,,0.26
1,,"Cursed Land","Revised Edition",,,,,,,,,,0.28
1,,"Dancing Scimitar","Revised Edition",,,,,,,,,,1.07
1,,"Dark Ritual","Revised Edition",,,,,,,,,,0.92
1,,Darkpact,"Revised Edition",,,,,,,,,,2.74
1,,"Death Ward","Revised Edition",,,,,,,,,,0.25
1,,Deathgrip,"Revised Edition",,,,,,,,,,0.35
1,,Deathlace,"Revised Edition",,,,,,,,,,0.54
1,,"Demonic Attorney","Revised Edition",,,,,,,,,,3.06
1,,"Demonic Hordes","Revised Edition",,,,,,,,,,7.87
1,,"Demonic Tutor","Revised Edition",,,,,,,,,,44.11
1,,"Desert Twister","Revised Edition",,,,,,,,,,0.37
1,,"Dingus Egg","Revised Edition",,,,,,,,,,1.50
1,,Disenchant,"Revised Edition",,,,,,,,,,0.30
1,,Disintegrate,"Revised Edition",,,,,,,,,,0.25
1,,"Disrupting Scepter","Revised Edition",,,,,,,,,,1.47
1,,"Dragon Engine","Revised Edition",,,,,,,,,,0.75
1,,"Dragon Whelp","Revised Edition",,,,,,,,,,0.39
1,,"Drain Life","Revised Edition",,,,,,,,,,0.25
1,,"Drain Power","Revised Edition",,,,,,,,,,2.16
1,,"Drudge Skeletons","Revised Edition",,,,,,,,,,0.24
1,,"Dwarven Warriors","Revised Edition",,,,,,,,,,0.25
1,,"Dwarven Weaponsmith","Revised Edition",,,,,,,,,,0.28
1,,"Earth Elemental","Revised Edition",,,,,,,,,,0.27
1,,Earthbind,"Revised Edition",,,,,,,,,,1.67
1,,Earthquake,"Revised Edition",,,,,,,,,,2.57
1,,"Ebony Horse","Revised Edition",,,,,,,,,,0.49
1,,El-Hajjâj,"Revised Edition",,,,,,,,,,0.81
1,,"Elvish Archers","Revised Edition",,,,,,,,,,2.60
1,,"Energy Flux","Revised Edition",,,,,,,,,,0.35
1,,"Erg Raiders","Revised Edition",,,,,,,,,,0.25
1,,"Evil Presence","Revised Edition",,,,,,,,,,0.30
1,,"Eye for an Eye","Revised Edition",,,,,,,,,,1.00
1,,Farmstead,"Revised Edition",,,,,,,,,,2.00
1,,Fastbond,"Revised Edition",,,,,,,,,,17.93
1,,Fear,"Revised Edition",,,,,,,,,,0.23
1,,Feedback,"Revised Edition",,,,,,,,,,0.28
1,,"Fire Elemental","Revised Edition",,,,,,,,,,0.40
1,,Fireball,"Revised Edition",,,,,,,,,,0.35
1,,Firebreathing,"Revised Edition",,,,,,,,,,0.24
1,,Flashfires,"Revised Edition",,,,,,,,,,0.30
1,,Flight,"Revised Edition",,,,,,,,,,0.24
1,,"Flying Carpet","Revised Edition",,,,,,,,,,0.61
1,,Fog,"Revised Edition",,,,,,,,,,0.25
1,,"Force of Nature","Revised Edition",,,,,,,,,,2.99
1,,"Forest (3)","Revised Edition",,,,,,,,,,0.35
1,,"Forest (2)","Revised Edition",,,,,,,,,,0.40
1,,"Forest (1)","Revised Edition",,,,,,,,,,0.74
1,,Fork,"Revised Edition",,,,,,,,,,45.00
1,,"Frozen Shade","Revised Edition",,,,,,,,,,0.25
1,,Fungusaur,"Revised Edition",,,,,,,,,,0.69
1,,"Gaea's Liege","Revised Edition",,,,,,,,,,1.80
1,,"Giant Growth","Revised Edition",,,,,,,,,,0.25
1,,"Giant Spider","Revised Edition",,,,,,,,,,0.25
1,,"Glasses of Urza","Revised Edition",,,,,,,,,,0.31
1,,Gloom,"Revised Edition",,,,,,,,,,0.36
1,,"Goblin Balloon Brigade","Revised Edition",,,,,,,,,,0.43
1,,"Goblin King","Revised Edition",,,,,,,,,,5.19
1,,"Granite Gargoyle","Revised Edition",,,,,,,,,,4.55
1,,"Gray Ogre","Revised Edition",,,,,,,,,,0.23
1,,"Green Ward","Revised Edition",,,,,,,,,,0.26
1,,"Grizzly Bears","Revised Edition",,,,,,,,,,0.24
1,,"Guardian Angel","Revised Edition",,,,,,,,,,0.25
1,,"Healing Salve","Revised Edition",,,,,,,,,,0.25
1,,"Helm of Chatzuk","Revised Edition",,,,,,,,,,0.62
1,,"Hill Giant","Revised Edition",,,,,,,,,,0.24
1,,"Holy Armor","Revised Edition",,,,,,,,,,0.24
1,,"Holy Strength","Revised Edition",,,,,,,,,,0.25
1,,"Howl from Beyond","Revised Edition",,,,,,,,,,0.24
1,,"Howling Mine","Revised Edition",,,,,,,,,,11.38
1,,"Hurkyl's Recall","Revised Edition",,,,,,,,,,4.99
1,,"Hurloon Minotaur","Revised Edition",,,,,,,,,,0.25
1,,Hurricane,"Revised Edition",,,,,,,,,,0.35
1,,"Hypnotic Specter","Revised Edition",,,,,,,,,,2.00
1,,"Instill Energy","Revised Edition",,,,,,,,,,1.43
1,,"Iron Star","Revised Edition",,,,,,,,,,0.28
1,,"Ironroot Treefolk","Revised Edition",,,,,,,,,,0.23
1,,"Island (3)","Revised Edition",,,,,,,,,,0.61
1,,"Island (1)","Revised Edition",,,,,,,,,,0.50
1,,"Island (2)","Revised Edition",,,,,,,,,,0.67
1,,"Island Fish Jasconius","Revised Edition",,,,,,,,,,0.74
1,,"Island Sanctuary","Revised Edition",,,,,,,,,,3.32
1,,"Ivory Cup","Revised Edition",,,,,,,,,,0.26
1,,"Ivory Tower","Revised Edition",,,,,,,,,,5.22
1,,"Jade Monolith","Revised Edition",,,,,,,,,,0.50
1,,"Jandor's Ring","Revised Edition",,,,,,,,,,0.54
1,,"Jandor's Saddlebags","Revised Edition",,,,,,,,,,0.90
1,,"Jayemdae Tome","Revised Edition",,,,,,,,,,1.99
1,,Juggernaut,"Revised Edition",,,,,,,,,,0.55
1,,Jump,"Revised Edition",,,,,,,,,,0.21
1,,Karma,"Revised Edition",,,,,,,,,,0.30
1,,"Keldon Warlord","Revised Edition",,,,,,,,,,0.30
1,,"Kird Ape","Revised Edition",,,,,,,,,,0.30
1,,"Kormus Bell","Revised Edition",,,,,,,,,,3.15
1,,Kudzu,"Revised Edition",,,,,,,,,,2.03
1,,Lance,"Revised Edition",,,,,,,,,,0.26
1,,"Ley Druid","Revised Edition",,,,,,,,,,0.26
1,,"Library of Leng","Revised Edition",,,,,,,,,,1.75
1,,Lifeforce,"Revised Edition",,,,,,,,,,0.35
1,,Lifelace,"Revised Edition",,,,,,,,,,0.50
1,,Lifetap,"Revised Edition",,,,,,,,,,0.30
1,,"Lightning Bolt","Revised Edition",,,,,,,,,,1.95
1,,"Living Artifact","Revised Edition",,,,,,,,,,0.60
1,,"Living Lands","Revised Edition",,,,,,,,,,0.97
1,,"Living Wall","Revised Edition",,,,,,,,,,0.43
1,,"Llanowar Elves","Revised Edition",,,,,,,,,,0.47
1,,"Lord of Atlantis","Revised Edition",,,,,,,,,,8.51
1,,"Lord of the Pit","Revised Edition",,,,,,,,,,3.70
1,,Lure,"Revised Edition",,,,,,,,,,0.35
1,,"Magical Hack","Revised Edition",,,,,,,,,,0.99
1,,"Magnetic Mountain","Revised Edition",,,,,,,,,,0.70
1,,"Mahamoti Djinn","Revised Edition",,,,,,,,,,2.81
1,,"Mana Flare","Revised Edition",,,,,,,,,,8.99
1,,"Mana Short","Revised Edition",,,,,,,,,,2.53
1,,"Mana Vault","Revised Edition",,,,,,,,,,47.13
1,,Manabarbs,"Revised Edition",,,,,,,,,,1.73
1,,Meekstone,"Revised Edition",,,,,,,,,,7.38
1,,"Merfolk of the Pearl Trident","Revised Edition",,,,,,,,,,0.24
1,,"Mesa Pegasus","Revised Edition",,,,,,,,,,0.25
1,,"Mijae Djinn","Revised Edition",,,,,,,,,,1.34
1,,Millstone,"Revised Edition",,,,,,,,,,1.93
1,,"Mind Twist","Revised Edition",,,,,,,,,,6.50
1,,"Mishra's War Machine","Revised Edition",,,,,,,,,,0.64
1,,"Mons's Goblin Raiders","Revised Edition",,,,,,,,,,0.24
1,,"Mountain (3)","Revised Edition",,,,,,,,,,0.49
1,,"Mountain (2)","Revised Edition",,,,,,,,,,0.40
1,,"Mountain (1)","Revised Edition",,,,,,,,,,0.50
1,,"Nether Shadow","Revised Edition",,,,,,,,,,1.99
1,,"Nettling Imp","Revised Edition",,,,,,,,,,0.35
1,,"Nevinyrral's Disk","Revised Edition",,,,,,,,,,8.03
1,,Nightmare,"Revised Edition",,,,,,,,,,5.66
1,,"Northern Paladin","Revised Edition",,,,,,,,,,1.27
1,,"Obsianus Golem","Revised Edition",,,,,,,,,,0.28
1,,Onulet,"Revised Edition",,,,,,,,,,0.60
1,,"Orcish Artillery","Revised Edition",,,,,,,,,,0.30
1,,"Orcish Oriflamme","Revised Edition",,,,,,,,,,0.30
1,,Ornithopter,"Revised Edition",,,,,,,,,,0.55
1,,Paralyze,"Revised Edition",,,,,,,,,,0.24
1,,"Pearled Unicorn","Revised Edition",,,,,,,,,,0.24
1,,"Personal Incarnation","Revised Edition",,,,,,,,,,0.98
1,,Pestilence,"Revised Edition",,,,,,,,,,0.30
1,,"Phantasmal Forces","Revised Edition",,,,,,,,,,0.29
1,,"Phantasmal Terrain","Revised Edition",,,,,,,,,,0.24
1,,"Phantom Monster","Revised Edition",,,,,,,,,,0.33
1,,"Pirate Ship","Revised Edition",,,,,,,,,,0.96
1,,"Plague Rats","Revised Edition",,,,,,,,,,0.25
1,,"Plains (3)","Revised Edition",,,,,,,,,,0.44
1,,"Plains (2)","Revised Edition",,,,,,,,,,0.41
1,,"Plains (1)","Revised Edition",,,,,,,,,,0.48
1,,Plateau,"Revised Edition",,,,,,,,,,323.40
1,,"Power Leak","Revised Edition",,,,,,,,,,0.24
1,,"Power Sink","Revised Edition",,,,,,,,,,0.24
1,,"Power Surge","Revised Edition",,,,,,,,,,1.25
1,,"Primal Clay","Revised Edition",,,,,,,,,,0.79
1,,"Prodigal Sorcerer","Revised Edition",,,,,,,,,,0.25
1,,"Psychic Venom","Revised Edition",,,,,,,,,,0.24
1,,Purelace,"Revised Edition",,,,,,,,,,0.50
1,,"Raise Dead","Revised Edition",,,,,,,,,,0.24
1,,Reconstruction,"Revised Edition",,,,,,,,,,0.25
1,,"Red Elemental Blast","Revised Edition",,,,,,,,,,1.70
1,,"Red Ward","Revised Edition",,,,,,,,,,0.28
1,,Regeneration,"Revised Edition",,,,,,,,,,0.24
1,,Regrowth,"Revised Edition",,,,,,,,,,0.90
1,,Resurrection,"Revised Edition",,,,,,,,,,0.33
1,,"Reverse Damage","Revised Edition",,,,,,,,,,1.98
1,,"Reverse Polarity","Revised Edition",,,,,,,,,,0.29
1,,Righteousness,"Revised Edition",,,,,,,,,,2.01
1,,"Roc of Kher Ridges","Revised Edition",,,,,,,,,,2.96
1,,"Rock Hydra","Revised Edition",,,,,,,,,,4.42
1,,"Rocket Launcher","Revised Edition",,,,,,,,,,0.99
1,,"Rod of Ruin","Revised Edition",,,,,,,,,,0.30
1,,"Royal Assassin","Revised Edition",,,,,,,,,,12.25
1,,Sacrifice,"Revised Edition",,,,,,,,,,2.00
1,,"Samite Healer","Revised Edition",,,,,,,,,,0.23
1,,Savannah,"Revised Edition",,,,,,,,,,355.00
1,,"Savannah Lions","Revised Edition",,,,,,,,,,4.58
1,,"Scathe Zombies","Revised Edition",,,,,,,,,,0.24
1,,"Scavenging Ghoul","Revised Edition",,,,,,,,,,0.25
1,,Scrubland,"Revised Edition",,,,,,,,,,345.77
1,,"Scryb Sprites","Revised Edition",,,,,,,,,,0.25
1,,"Sea Serpent","Revised Edition",,,,,,,,,,0.24
1,,"Sedge Troll","Revised Edition",,,,,,,,,,4.06
1,,"Sengir Vampire","Revised Edition",,,,,,,,,,1.54
1,,"Serendib Efreet","Revised Edition",,,,,,,,,,5.92
1,,"Serra Angel","Revised Edition",,,,,,,,,,2.99
1,,"Shanodin Dryads","Revised Edition",,,,,,,,,,0.23
1,,Shatter,"Revised Edition",,,,,,,,,,0.25
1,,Shatterstorm,"Revised Edition",,,,,,,,,,0.49
1,,"Shivan Dragon","Revised Edition",,,,,,,,,,15.72
1,,Simulacrum,"Revised Edition",,,,,,,,,,0.28
